title,authors,average_rating,rating,date_of_publication,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
The Heart Is a Lonely Hunter,Carson McCullers,3.99,109552,1940-06-04,359,"['Fiction', 'Classics', 'Literature', 'Novels', 'Historical Fiction', 'American', 'Southern Gothic']",2711,8123,141,2194,6332,21621,39778,39627
Interpreter of Maladies,Jhumpa Lahiri,4.17,192342,1999-04-20,198,"['Short Stories', 'Fiction', 'India', 'Contemporary', 'Literary Fiction', 'Literature', 'Indian Literature']",13300,13814,85,1179,5444,30586,76905,78228
Du côté de chez Swann,Marcel Proust,4.14,59723,1913-11-14,710,"['Fiction', 'France', 'Literature', 'French Literature', 'Novels', 'Philosophy', '20th Century', 'Fiction', 'France', 'Literature', 'French Literature', 'Novels', 'Philosophy', '20th Century', 'Fiction', 'France', 'Literature', 'French Literature', 'Novels', 'Philosophy', '20th Century']",6396,5308,1917,1782,3192,8554,17377,28818
Like Water for Chocolate,Laura Esquivel,3.95,365117,1989-01-01,222,"['Fiction', 'Magical Realism', 'Romance', 'Historical Fiction', 'Classics', 'Fantasy', 'Food', 'Fiction', 'Magical Realism', 'Romance', 'Historical Fiction', 'Classics', 'Fantasy', 'Food', 'Fiction', 'Magical Realism', 'Romance', 'Historical Fiction', 'Classics', 'Fantasy', 'Food', 'Fiction', 'Magical Realism', 'Romance', 'Historical Fiction', 'Classics', 'Fantasy', 'Food', 'Fiction', 'Magical Realism', 'Romance', 'Historical Fiction', 'Classics', 'Fantasy', 'Food']",2092,13346,52,10181,20102,76491,128750,129593
The Age of Innocence,Edith Wharton,3.96,172648,1920-10-01,293,"['Classics', 'Fiction', 'Historical Fiction', 'Romance', 'Literature', 'American', 'Historical', 'Classics', 'Fiction', 'Historical Fiction', 'Romance', 'Literature', 'American', 'Historical', 'Classics', 'Fiction', 'Historical Fiction', 'Romance', 'Literature', 'American', 'Historical']",4333,10218,1435,3143,9182,37324,63982,59017
Harry Potter and the Goblet of Fire,J.K. Rowling,4.57,3656440,2000-07-08,734,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Middle Grade', 'Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Middle Grade', 'Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Middle Grade', 'Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Middle Grade', 'Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Middle Grade']",225000,68277,529,20069,37683,255769,884939,2457980
The English Patient,Michael Ondaatje,3.87,131442,1992-09-01,320,"['Fiction', 'Historical Fiction', 'Classics', 'Romance', 'War', 'Historical', 'Canada']",3738,5946,137,4122,9926,28579,45623,43192
A Separate Peace,John Knowles,3.59,218065,1959-01-01,208,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'School', 'Coming Of Age', 'High School']",347,9459,92,10511,23667,60632,72541,50714
If on a Winter's Night a Traveler,Italo Calvino,4.04,96801,1979-06-02,260,"['Fiction', 'Classics', 'Italian Literature', 'Magical Realism', 'Literature', 'Italy', 'Novels', 'Fiction', 'Classics', 'Italian Literature', 'Magical Realism', 'Literature', 'Italy', 'Novels', 'Fiction', 'Classics', 'Italian Literature', 'Magical Realism', 'Literature', 'Italy', 'Novels']",7822,8988,479,2360,5631,17085,32896,38829
A Room of One’s Own,Virginia Woolf,4.21,203635,1903-01-01,112,"['Classics', 'Nonfiction', 'Feminism', 'Essays', 'Philosophy', 'Writing', 'Literature']",24100,16969,1373,2119,6319,29331,74793,91073
